Category ID	Category Name	Number	Name
9	Castle / Royal Knights	cas067	Scale Mail - Red with Black Arms, Blue Legs, Black Grille Helmet, White Plume
9	Castle / Wolfpack	cas072	Wolf People - Wolfpack 1 with Brown Arms, Brown Hood
9	Castle / Wolfpack	cas073	Wolf People - Wolfpack 2 with Black Arms, Black Hood
34	Space / Life On Mars	lom001	LoM Martian - Orange Body, Black Legs
34	Space / Life On Mars	lom002	LoM Martian - Orange Body, Orange Legs
34	Space / Life On Mars	lom003	LoM Martian - Altair
34	Space / Life On Mars	lom004	LoM Martian - Antares
34	Space / Life On Mars	lom005	LoM Martian - Arcturus
34	Space / Life On Mars	lom006	LoM Martian - Canopus
34	Space / Life On Mars	lom007	LoM Martian - Cassiopeia
34	Space / Life On Mars	lom008	LoM Martian - Centauri
34	Space / Life On Mars	lom009	LoM Martian - Mizar
34	Space / Life On Mars	lom010	LoM Martian - Pollux
34	Space / Life On Mars	lom011	LoM Martian - Rigel
34	Space / Life On Mars	lom012	LoM Martian - Vega
34	Space / Life On Mars	lom013	LoM - Assistant
34	Space / Life On Mars	lom014	LoM - Assistant, Large Visor
34	Space / Life On Mars	lom015	LoM - BB
34	Space / Life On Mars	lom016	LoM - Doc
34	Space / Life On Mars	lom017	LoM - Mac
61	Pirates / Pirates I / Imperial Guards	pi001	Imperial Guard - Admiral
61	Pirates / Pirates I / Imperial Soldiers	pi004	Imperial Soldier - Governor
61	Pirates / Pirates I	pi005	Pirate Blue Jacket, Light Gray Legs, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi006	Pirate Blue Jacket White Legs, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi008	Pirate Blue Jacket, Light Gray Legs, Brown Pirate Triangle Hat
61	Pirates / Pirates I	pi009	Pirate Blue Jacket, White Legs, Brown Pirate Triangle Hat
61	Pirates / Pirates I / Imperial Armada	pi010	Imperial Armada - Red
61	Pirates / Pirates I	pi012	Pirate Anchor Shirt, Light Gray Legs, Black Bandana
61	Pirates / Pirates I	pi013	Pirate Anchor Shirt, Blue Legs, Red Bandana
61	Pirates / Pirates I / Imperial Armada	pi014	Imperial Armada - Green
61	Pirates / Pirates I / Imperial Armada	pi015	Imperial Armada - Green Captain
61	Pirates / Pirates I / Imperial Armada	pi016	Imperial Armada - Red - Captain
61	Pirates / Pirates I	pi017	Pirate Blue / White Stripes Shirt, Black Legs, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi018	Pirate Blue / White Stripes Shirt, Blue Legs, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi019	Pirate Blue / White Stripes Shirt, White Legs, Blue Bandana
61	Pirates / Pirates I	pi020	Pirate Blue / White Stripes Shirt, Black Legs, Red Bandana
61	Pirates / Pirates I	pi021	Pirate Blue / White Stripes Shirt, Blue Legs, Red Bandana
61	Pirates / Pirates I	pi022	Pirate Shirt with Knife, Black Leg with Peg Leg, Black Pirate Hat with Skull
61	Pirates / Pirates I	pi023	Pirate Shirt with Knife, Black Leg with Peg Leg, Black Pirate Hat with Skull, Blue Epaulettes
61	Pirates / Pirates I	pi024	Pirate Shirt with Knife, Black Legs, Brown Pirate Triangle Hat
61	Pirates / Pirates I	pi025	Pirate Red / Black Stripes Shirt, Black Legs, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi026	Pirate Red / Black Stripes Shirt, Blue Legs, Black Pirate Triangle Hat
53	Adventurers / Jungle	adv001	Achu
53	Adventurers / Dino Island	adv002	Alexis Sanister
53	Adventurers / Desert	adv003	Baron Von Barron with Pith Helmet
53	Adventurers / Desert	adv004	Baron Von Barron with Brown Flying Helmet
53	Adventurers / Desert	adv005	Baron Von Barron with Light Gray Flying Helmet
53	Adventurers / Desert	adv006	Dr. Charles Lightning
53	Adventurers / Jungle	adv008	Gabarros
53	Adventurers / Desert	adv009	Harry Cane
53	Adventurers / Desert	adv010	Johnny Thunder (Desert)
53	Adventurers / Jungle	adv012	Max Villano
53	Adventurers / Dino Island	adv014	Mike
53	Adventurers / Desert	adv015	Miss Gail Storm (Desert)
53	Adventurers / Jungle	adv016	Miss Gail Storm (Jungle) with Pith Helmet
53	Adventurers / Dino Island	adv018	Miss Gail Storm (Dino Island) with Aviator Helmet and Goggles
53	Adventurers / Dino Island	adv019	Mr Cunningham with Brown Legs and Black Hips
53	Adventurers / Dino Island	adv020	Mr Cunningham with Brown Legs
53	Adventurers / Desert	adv021	Pharaoh Hotep
53	Adventurers / Jungle	adv023	Señor Palomar (Senor Palomar)
61	Pirates / Pirates I	pi027	Pirate Red / Black Stripes Shirt, Black Legs, Blue Bandana
61	Pirates / Pirates I	pi028	Pirate Red / Black Stripes Shirt, Blue Legs, Blue Bandana
61	Pirates / Pirates I	pi029	Pirate Red / Black Stripes Shirt, Green Legs, Blue Bandana
61	Pirates / Pirates I	pi030	Pirate Red / Black Stripes Shirt, Red Legs, Blue Bandana
61	Pirates / Pirates I	pi031	Pirate Red / Black Stripes Shirt, Black Legs, Red Bandana
61	Pirates / Pirates I	pi032	Pirate Red / Black Stripes Shirt, Blue Legs, Red Bandana
61	Pirates / Pirates I	pi033	Pirate Brown Shirt, Black Legs, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi034	Pirate Brown Shirt, Green Legs, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi035	Pirate Brown Shirt, Light Gray Legs, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi036	Pirate Brown Shirt, Black Leg with Peg Leg, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi037	Pirate Brown Shirt, Light Gray Legs, Brown Pirate Triangle Hat
61	Pirates / Pirates I	pi038	Pirate Red / White Stripes Shirt, Black Leg with Peg Leg, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi039	Pirate Red / White Stripes Shirt, White Legs, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi040	Pirate Red / White Stripes Shirt, Blue Legs, Blue Bandana
61	Pirates / Pirates I	pi041	Pirate Red / White Stripes Shirt, Light Gray Legs, Blue Bandana
61	Pirates / Pirates I	pi042	Pirate Red / White Stripes Shirt, White Legs, Blue Bandana
61	Pirates / Pirates I	pi043	Pirate Red / White Stripes Shirt, Blue Legs, Red Bandana
61	Pirates / Pirates I	pi044	Pirate Red / White Stripes Shirt, Light Gray Legs, Red Bandana
61	Pirates / Pirates I	pi045	Pirate Red / White Stripes Shirt, White Legs, Red Bandana
61	Pirates / Pirates I	pi046	Pirate Red / White Stripes Shirt, Red Legs, Red Bandana
61	Pirates / Pirates I	pi047	Pirate Green Vest, Black Legs, Black Bandana
61	Pirates / Pirates I	pi048	Pirate Green Vest, Black Legs, Brown Pirate Triangle Hat
61	Pirates / Pirates I	pi049	Pirate Green Vest, Red Legs, Brown Pirate Triangle Hat
61	Pirates / Pirates I	pi050	Pirate Green Vest, Black Leg with Pegleg, Black Pirate Hat with Skull
61	Pirates / Pirates I	pi051	Pirate Green Vest, Black Legs, Red Bandana
61	Pirates / Pirates I	pi052	Pirate Green Vest, Blue Legs, Red Bandana
61	Pirates / Pirates I	pi053	Pirate Brown Vest Ascot, Light Gray Legs, Black Pirate Triangle Hat
61	Pirates / Pirates I	pi054	Pirate Brown Vest Ascot, Blue Legs, Brown Pirate Triangle Hat
61	Pirates / Pirates I	pi055	Captain Red Beard with Pirate Hat with Skull
61	Pirates / Pirates I	pi056	Pirate Female, White Legs, Blue Bandana
61	Pirates / Pirates I	pi057	Pirate Female, Black Legs, Red Bandana
61	Pirates / Pirates I	pi058	Pirate Female, White Legs, Red Bandana
61	Pirates / Pirates I / Imperial Soldiers	pi060	Imperial Soldier - Sailor
61	Pirates / Pirates I / Imperial Soldiers	pi061	Imperial Soldier
61	Pirates / Pirates I / Imperial Guards	pi062	Imperial Guard with Blue Epaulettes
61	Pirates / Pirates I / Imperial Soldiers	pi063	Imperial Soldier - Officer
61	Pirates / Pirates I / Imperial Soldiers	pi064	Imperial Soldier - Harbor Sentry
61	Pirates / Pirates I / Imperial Guards	pi065	Imperial Guard - Officer
61	Pirates / Pirates I / Islanders	pi066	Islander, Female
61	Pirates / Pirates I / Islanders	pi068	Islander, King Kahuka
61	Pirates / Pirates I / Islanders	pi069	Islander, King, with Black Hair-Piece
61	Pirates / Pirates I / Islanders	pi070	Islander, Male
62	Rock Raiders	rck001	Axel - Trans-Neon Green Visor
62	Rock Raiders	rck002	Bandit
62	Rock Raiders	rck003	Docs
62	Rock Raiders	rck004	Jet - Trans-Neon Green Visor
62	Rock Raiders	rck005	Sparks
34	Space / Blacktron I	sp001	Blacktron 1
34	Space / Blacktron II	sp002	Blacktron 2
34	Space / Classic Space	sp003	Classic Space - Black with Airtanks
34	Space / Classic Space	sp004	Classic Space - Blue with Airtanks
34	Space / Classic Space	sp005	Classic Space - Red with Airtanks
34	Space / Classic Space	sp006	Classic Space - White with Airtanks
34	Space / Classic Space	sp007	Classic Space - Yellow with Airtanks
34	Space / Exploriens	sp008	Explorien
34	Space / Exploriens	sp009	Explorien Chief
34	Space / Exploriens	sp010	Explorien Droid
34	Space / Exploriens	sp011	Explorien Droid with Dark Gray Helmet
34	Space / Exploriens	sp012	Explorien with Breathing Apparatus
34	Space / Futuron	sp013	Futuron - Black
34	Space / Futuron	sp014	Futuron - Blue
34	Space / Futuron	sp015	Futuron - Red
34	Space / Futuron	sp016	Futuron - Yellow
34	Space / Ice Planet 2002	sp017	Ice Planet Babe
34	Space / Ice Planet 2002	sp018	Ice Planet Blonde Guy
34	Space / Ice Planet 2002	sp019	Ice Planet Chief
34	Space / Insectoids	sp020	Insectoids - green circuitry w/hose on sides, printed legs
34	Space / Insectoids	sp021	Insectoids - blue X pattern w/ hoses on side
34	Space / Insectoids	sp022	Insectoids - Female, blue diamond under circuits
34	Space / Insectoids	sp023	Insectoids - blue circuits w/ white lighting bolts, printed legs
34	Space / Insectoids	sp024	Insectoids - logo centered & 2 silver panels
34	Space / Insectoids	sp025	Insectoids - Green Verniers w/ Silver X Pattern, Airtanks
34	Space / Insectoids	sp026	Insectoids - Female, blue diamond under circuits, Dark Gray Armor
34	Space / Insectoids	sp027	Insectoids - green verniers w/ silver X pattern, Black Armor
34	Space / Insectoids	sp028	Insectoids - green circuitry w/hose on sides, printed legs, Black Armor
34	Space / Insectoids	sp029	Insectoids - blue circuits, white lighting bolts, printed legs, Black Armor
34	Space / Insectoids	sp030	Insectoids - green verniers w/ silver X pattern, Dark Gray Armor
34	Space / Insectoids	sp032	Insectoids - Droid Silver
34	Space / M:Tron	sp033	M:Tron with Airtanks
34	Space / RoboForce	sp034	RoboForce Red
34	Space / RoboForce	sp035	RoboForce Yellow
34	Space / Space Police I	sp036	Space Police 1
34	Space / Space Police II	sp037	Space Police 2
34	Space / Space Police II	sp038	Space Police 2 Chief
34	Space / Spyrius	sp039	Spyrius
34	Space / Spyrius	sp040	Spyrius Chief
34	Space / Spyrius	sp041	Spyrius Droid
34	Space / UFO	sp042	UFO Alien Blue
34	Space / UFO	sp043	UFO Droid Blue
34	Space / UFO	sp044	UFO Droid Red
34	Space / UFO	sp045	UFO Alien Gray
34	Space / UFO	sp046	UFO Alien Red
34	Space / UFO	sp047	UFO Alien Red (Undecorated Helmet)
34	Space / Unitron	sp048	Unitron
34	Space / Unitron	sp049	Unitron Chief
65	Star Wars / Star Wars Episode 4/5/6	sw002	Boba Fett - Classic Grays
65	Star Wars / Star Wars Episode 1	sw003	Darth Maul
65	Star Wars / Star Wars Episode 4/5/6	sw004	Darth Vader
65	Star Wars / Star Wars Episode 4/5/6	sw005	Scout Trooper
65	Star Wars / Star Wars Episode 1	sw006	Aldar Beedo
65	Star Wars / Star Wars Episode 1	sw007	Anakin Skywalker (Brown Helmet)
65	Star Wars / Star Wars Episode 1	sw008	Anakin Skywalker (Light Gray Helmet)
65	Star Wars / Star Wars Episode 4/5/6	sw009	Biggs Darklighter
65	Star Wars / Star Wars Episode 4/5/6	sw010	C-3PO - Pearl Light Gold
65	Star Wars / Star Wars Episode 4/5/6	sw011	Chewbacca (Brown)
65	Star Wars / Star Wars Episode 4/5/6	sw012	Dak Ralter
65	Star Wars / Star Wars Episode 1	sw013	Gungan Soldier
65	Star Wars / Star Wars Episode 4/5/6	sw014	Han Solo, Blue Legs (Falcon)
65	Star Wars / Star Wars Episode 4/5/6	sw015	Han Solo, Brown Legs without Holster Pattern (Skiff)
65	Star Wars / Star Wars Episode 4/5/6	sw016	Hoth Rebel
65	Star Wars / Star Wars Episode 1	sw017	Jar Jar Binks
65	Star Wars / Star Wars Episode 4/5/6	sw018	Luke Skywalker (Endor)
65	Star Wars / Star Wars Episode 4/5/6	sw019	Luke Skywalker (Pilot)
65	Star Wars / Star Wars Episode 4/5/6	sw020	Luke Skywalker (Skiff)
65	Star Wars / Star Wars Episode 4/5/6	sw021	Luke Skywalker (Tatooine)
65	Star Wars / Star Wars Episode 1	sw022	Naboo Security Officer
65	Star Wars / Star Wars Episode 4/5/6	sw023	Obi-Wan Kenobi (Old)
65	Star Wars / Star Wars Episode 1	sw024	Obi-Wan Kenobi (young with hood and cape)
65	Star Wars / Star Wars Episode 1	sw025	Padme Naberrie
65	Star Wars / Star Wars Episode 4/5/6	sw026	Princess Leia
65	Star Wars / Star Wars Episode 1	sw027	Qui-Gon Jinn
65	Star Wars	sw028	R2-D2
65	Star Wars / Star Wars Episode 4/5/6	sw029	R5-D4
65	Star Wars / Star Wars Episode 4/5/6	sw030	Rebel Engineer
65	Star Wars / Star Wars Episode 4/5/6	sw031	Rebel Pilot A-wing
65	Star Wars / Star Wars Episode 4/5/6	sw032	Rebel Pilot B-wing
65	Star Wars / Star Wars Episode 4/5/6	sw033	Rebel Pilot Y-wing (Dutch Vander)
65	Star Wars / Star Wars Episode 4/5/6	sw034	Rebel Technician
69	Western / Cowboys	ww001	Cavalry Colonel
69	Western / Cowboys	ww002	Cavalry Lieutenant
69	Western / Cowboys	ww003	Cavalry Lieutenant with Bandana
69	Western / Cowboys	ww004	Cavalry Lieutenant with Cavalry Cap and Bandana
69	Western / Cowboys	ww005	Cavalry Soldier
69	Western / Cowboys	ww006	Cavalry Soldier with Bandana
69	Western / Cowboys	ww007	Bandit 1
69	Western / Cowboys	ww008	Bandit 2
69	Western / Cowboys	ww010	Bandit 3
69	Western / Cowboys	ww011	Bandit 4
69	Western / Cowboys	ww012	Cowboy Red Shirt
69	Western / Cowboys	ww013	Cowboy Blue Shirt
69	Western / Indians	ww014	Indian Red Shirt, Quiver
69	Western / Indians	ww016	Indian Tan Shirt, Quiver
69	Western / Indians	ww017	Indian Chief
69	Western / Indians	ww018	Indian Female, Quiver
69	Western / Indians	ww019	Indian Medicine Man
69	Western / Cowboys	ww020	Banker
69	Western / Cowboys	ww021	Sheriff
67	Town / Classic Town	chef007	Chef - Black Legs, Moustache
67	Town / Paradisa	par002	Horse and Palm - Yellow Legs, Black Ponytail Hair
67	Town / Paradisa	par003	Blue Flowers - White Legs, Black Ponytail Hair
67	Town / Paradisa	par004	Blue Flowers - Yellow Legs, Black Ponytail Hair
67	Town / Paradisa	par005	Blue Flowers - Yellow Legs, White Cap
67	Town / Paradisa	par006	Blue Flowers - Yellow Legs, Red Ponytail Hair
67	Town / Paradisa	par007	Gray and White Collar - Yellow Legs, Brown Ponytail Hair, Life Jacket
67	Town / Paradisa	par008	Blue Flowers - Pink Legs, Brown Female Hair
67	Town / Paradisa	par009	Red Halter Top - Yellow Legs, Black Ponytail Hair
67	Town / Paradisa	par010	Red Dots on Pink Shirt - Yellow Legs, Brown Ponytail Hair, Life Jacket
67	Town / Paradisa	par011	Red Dots on Pink Shirt - Yellow Legs, Brown Ponytail Hair
67	Town / Paradisa	par012	Red Riding Jacket - White Legs, Black Construction Helmet
67	Town / Paradisa	par013	Red Riding Jacket - Light Gray Legs, Black Construction Helmet
67	Town / Paradisa	par014	Red Riding Jacket - Black Legs, Brown Ponytail Hair
67	Town / Paradisa	par015	Horse Logo - Light Gray Legs, Red Ponytail Hair
67	Town / Paradisa	par016	Red Dots on Pink Shirt - White Legs, Brown Ponytail Hair
67	Town / Paradisa	par017	Red Dots on Pink Shirt - Yellow Legs, Brown Ponytail Hair, Open Mouth
67	Town / Paradisa	par018	Red Dots on Pink Shirt - White Legs, White Cap
67	Town / Paradisa	par019	Palm Tree - Yellow Legs, Red Ponytail Hair
67	Town / Paradisa	par020	Palm Tree - Yellow Legs, Black Ponytail Hair
67	Town / Paradisa	par021	Palm Tree - Light Gray Legs, Blue Cap
67	Town / Paradisa	par022	Island with Palm and Sun - Yellow Legs, Black Ponytail Hair
67	Town / Paradisa	par023	Island with Palm and Sun - Yellow Legs, Red Ponytail Hair
67	Town / Paradisa	par024	Jogging Suit - White Legs, Red Ponytail Hair
67	Town / Paradisa	par025	Horizontal Blue/White Stripes, Yellow Legs, Brown Male Hair, Life Jacket
67	Town / Paradisa	par026	Horizontal Blue/White Stripes, White Legs, Black Construction Helmet
67	Town / Paradisa	par027	Horizontal Blue/White Stripes, Yellow Legs, Blue Cap
67	Town / Paradisa	par028	Horizontal Blue/White Stripes, Light Gray Legs, Light Gray Cowboy Hat
67	Town / Paradisa	par029	Surfboard on Ocean - Yellow Legs, Black Male Hair, Moustache
67	Town / Paradisa	par030	Surfboard on Ocean - Yellow Legs, Blue Cap
67	Town / Paradisa	par031	Surfboard on Ocean - White Legs, Blue Cap
67	Town / Paradisa	par032	Surfboard on Ocean - Yellow Legs, Brown Male Hair, Life Jacket
67	Town / Paradisa	par033	Surfboard on Ocean - Blue Legs, Blue Cap
67	Town / Paradisa	par034	Red / White Stripes Shirt, Yellow Legs, White Cap
67	Town / Paradisa	par035	Plain Black Torso with Yellow Arms, White Legs, Sunglasses, Brown Male Hair
67	Town / Paradisa	par036	Plain Black Torso with Yellow Arms, Yellow Legs, Sunglasses, Black Male Hair, Life Jacket
67	Town / Paradisa	wtr001	Town Vest Formal - Waiter with Moustache
67	Town / Paradisa	wtr003	Town Vest Formal - Coachman
157	Time Cruisers	tim001	Time Twisters - Bad Guy 1
157	Time Cruisers	tim002	Time Twisters - Bad Guy 2
157	Time Cruisers	tim003	Time Cruisers - Dr. Cyber
157	Time Cruisers	tim004	Time Cruisers - Timmy with Blue Legs, Blue Cap
67	Town / Arctic	arc001	Arctic - Red, White Helmet
67	Town / Arctic	arc002	Arctic - Black, Black Hood, Backpack
67	Town / Arctic	arc003	Arctic - Black, Blue Cap
67	Town / Arctic	arc004	Arctic - Black, White Cap
67	Town / Arctic	arc005	Arctic - Blue, Blue Hood, Black Legs
67	Town / Arctic	arc006	Arctic - Blue, Blue Hood, Black Legs, Snowshoes
67	Town / Arctic	arc007	Arctic - Green, Green Cap
67	Town / Arctic	arc008	Arctic - Green, Green Hood
67	Town / Arctic	arc009	Arctic - Red, Medic
67	Town / Divers	div001	Divers - Blue, Black Helmet
67	Town / Divers	div002	Divers - Blue, Female
67	Town / Divers	div003	Divers - Boatie 1, Blue Cap
67	Town / Divers	div004	Divers - Boatie 1, Brown Male Hair
67	Town / Divers	div005	Divers - Boatie 1, Blue Cap, Life Jacket
67	Town / Divers	div007	Divers - Control 1, Red Legs, Black Cap, Life Jacket
67	Town / Divers	div008	Divers - Control 1, Yellow Legs with Black Hips, White Cap
67	Town / Divers	div009	Divers - Control 2, Red Legs, Black Cap, Glasses and Headset
67	Town / Divers	div010	Divers - Control 2, Black Legs, Red Cap
67	Town / Divers	div011	Divers - Control 2, Red Legs with Black Hips, Red Cap
67	Town / Divers	div012	Divers - Control 2, Yellow Legs with Black Hips, White Cap
67	Town / Divers	div013	Divers - Blue, Red Cap
67	Town / Divers	div014	Divers - Red Diver 2, Red Legs, Black Helmet
67	Town / Divers	div015	Divers - Red diver 2, Black Legs with Red Hips, Black Helmet, Brown Bangs, Stubble
67	Town / Divers	div016	Divers - Red Diver 2, Red Legs with Black Hips, Black Helmet, Brown Bangs, Stubble
67	Town / Divers	div017	Divers - Red Diver 1, Red Legs with Black Hips, Red Helmet
67	Town / Divers	div018	Divers - Red Diver 2, Red Legs with Black Hips, Black Helmet, White Bangs
67	Town / Divers	div020	Divers - Red Diver 2, White Cap
67	Town / Extreme Team	ext001	Extreme Team - Blue, Blue Flame Helmet, White Bangs
67	Town / Extreme Team	ext002	Extreme Team - Blue, Blue Helmet Plain, Life Jacket
67	Town / Extreme Team	ext003	Extreme Team - Gray with Dark Gray Helmet
67	Town / Extreme Team	ext004	Extreme Team - Green, Dark Gray Legs, Blue Cap, Life Jacket
67	Town / Extreme Team	ext005	Extreme Team - Green, Black Legs with Yellow Hips, Green Flame Helmet, Life Jacket
67	Town / Extreme Team	ext006	Extreme Team - Green, Black Legs with Yellow Hips, Green Helmet Plain
67	Town / Extreme Team	ext007	Extreme Team - Green, Black Legs with Yellow Hips, Green Cap
67	Town / Classic Town	oct013	Octan - Green Jacket with Pen, Green Legs, White Cap
67	Town / Extreme Team	oct015	Octan - Race Team, Green Legs, White Cap
67	Town / Extreme Team	ext010	Extreme Team - Red
67	Town / Classic Town	ext011	TV Logo Large Pattern, White Legs, Blue Cap
67	Town / Extreme Team	ext012	Extreme Team - White, White Flame Helmet
67	Town / Res-Q	rsq002	Res-Q - Female Lifeguard, Life Jacket
67	Town / Res-Q	rsq003	Res-Q 1 - Black Cap, Life Jacket
67	Town / Res-Q	rsq004	Res-Q 1 - Helmet
67	Town / Res-Q	rsq005	Res-Q 3 - Black Cap
67	Town / Res-Q	rsq006	Res-Q 3 - Black Male Hair
67	Town / Res-Q	rsq007	Res-Q 3 - Diver
67	Town / Res-Q	rsq008	Res-Q 3 - Helmet
67	Town / Res-Q	rsq009	Res-Q 3 - Yellow Legs
67	Town / Res-Q	rsq010	Res-Q 2 - Black Cap
67	Town / Space Port	spp001	Space Port - Astronaut C1, White Legs, Blue Cap
67	Town / Space Port	spp002	Space Port - Astronaut 2 Red Buttons, White Legs with Light Gray Hips, Female
67	Town / Space Port	spp003	Space Port - Astronaut C1, White Legs with Light Gray Hips
67	Town / Launch Command	splc002	Launch Command - Astronaut, Airtanks
67	Town / Space Port	spp005	Space Port - Astronaut C1, White Legs with Light Gray Hips, Breathing Apparatus
67	Town / Space Port	spp006	Space Port - Astronaut C1, White Legs with Light Gray Hips, Rocket Pack
67	Town / Space Port	spp007	Space Port - Ground Control, Red Cap
67	Town / Space Port	spp008	Space Port - Ground Control, White Cap
67	Town / Space Port	spp009	Space Port - Ground Control, White Construction Helmet
67	Town / Space Port	spp010	Fire - Air Gauge and Pocket, Light Gray Legs and Black Hips, White Fire Helmet, Breathing Hose, White Airtanks
67	Town / Space Port	spp011	Space Port - Scientist, White Construction Helmet, Black Legs
67	Town / Space Port	spp012	Space Port - Security
67	Town / Race	twn002	Race - Blue with Blue Helmet
